iter	MultiClass
0	1.090528139
1	1.082698141
2	1.075127232
3	1.067901798
4	1.061024956
5	1.053394892
6	1.046199563
7	1.039434334
8	1.033717555
9	1.02776012
10	1.022580412
11	1.016042898
12	1.010315372
13	1.004817188
14	0.9989458555
15	0.9929805979
16	0.9877230892
17	0.9826357591
18	0.9780407474
19	0.9729246951
20	0.9683136217
21	0.9632291917
22	0.9581277322
23	0.9532252234
24	0.9487202155
25	0.9439680138
26	0.9387449606
27	0.9347454368
28	0.9308989742
29	0.9262846809
30	0.9224099366
31	0.9182798124
32	0.9140098741
33	0.9101752019
34	0.9066442249
35	0.9026435764
36	0.8987646825
37	0.8947759621
38	0.8908628283
39	0.887269344
40	0.8831902975
41	0.8796055808
42	0.875981186
43	0.8727658701
44	0.8695491619
45	0.8659774118
46	0.8629770655
47	0.8591472514
48	0.8559319108
49	0.8530978339
50	0.8501797681
51	0.8473964802
52	0.8447375363
53	0.8420027414
54	0.8387347391
55	0.8358896058
56	0.8333187243
57	0.83031737
58	0.8271007934
59	0.8240922558
60	0.8209037094
61	0.8185054526
62	0.8156841582
63	0.8130107122
64	0.8102711534
65	0.8075905372
66	0.8051380416
67	0.8025715601
68	0.8002518521
69	0.7985664569
70	0.7963785575
71	0.7941327748
72	0.7920397515
73	0.7896703628
74	0.7874696955
75	0.7853133688
76	0.7834431218
77	0.7812399104
78	0.778960284
79	0.7772353459
80	0.7751763396
81	0.7730167988
82	0.7711620898
83	0.769046387
84	0.7669550919
85	0.7651179158
86	0.7629560125
87	0.7610438793
88	0.7592405344
89	0.7571753469
90	0.7554057187
91	0.7535404009
92	0.7516023373
93	0.7496120352
94	0.7478995846
95	0.7462849826
96	0.7446028649
97	0.7429132554
98	0.741335212
99	0.7398449845
100	0.7383305918
101	0.7366876399
102	0.7352676866
103	0.7337761127
104	0.7323492063
105	0.7306215818
106	0.7291706447
107	0.7275696804
108	0.7260454031
109	0.7248076066
110	0.7232657529
111	0.72182554
112	0.7205026808
113	0.7192553909
114	0.7184230847
115	0.7169329895
116	0.715277076
117	0.7139975722
118	0.7126900039
119	0.7116873386
120	0.7103364386
121	0.7090187446
122	0.7077831064
123	0.7067065543
124	0.7055012535
125	0.7041846573
126	0.7029064272
127	0.7015031707
128	0.700254954
129	0.6992431813
130	0.6983729774
131	0.6971872182
132	0.6960694354
133	0.6949192252
134	0.6937594484
135	0.6927821512
136	0.6916195025
137	0.6905743261
138	0.6894597442
139	0.6883588054
140	0.687358668
141	0.6862298432
142	0.6854424255
143	0.6844184635
144	0.6835134079
145	0.6824537176
146	0.6813571665
147	0.6805157786
148	0.6795890871
149	0.6786791171
150	0.6778040463
151	0.6772129081
152	0.6762646489
153	0.6752979832
154	0.6744615093
155	0.6737237442
156	0.6728777698
157	0.671887601
158	0.6709110181
159	0.6699049041
160	0.6688101101
161	0.667876761
162	0.6668283001
163	0.6660861771
164	0.6654096031
165	0.6646303621
166	0.6637051479
167	0.6628320756
168	0.6620022653
169	0.6612429496
170	0.6604609769
171	0.6596825322
172	0.6587545481
173	0.6582377603
174	0.657296677
175	0.656470157
176	0.6557073838
177	0.6548786569
178	0.654287564
179	0.6536235666
180	0.6529683415
181	0.6523604922
182	0.6518388406
183	0.6510633565
184	0.6504189503
185	0.6498979272
186	0.6492375879
187	0.648537847
188	0.6478424167
189	0.6470373443
190	0.6462874949
