iter	Passed	Remaining
0	52	52697
1	107	53545
2	162	53953
3	225	56176
4	288	57425
5	351	58269
6	415	58986
7	480	59534
8	545	60065
9	609	60381
10	672	60464
11	733	60394
12	799	60663
13	839	59146
14	909	59714
15	973	59868
16	1037	59991
17	1100	60016
18	1165	60197
19	1228	60195
20	1290	60157
21	1353	60153
22	1416	60171
23	1478	60145
24	1544	60221
25	1609	60310
26	1672	60266
27	1736	60267
28	1778	59535
29	1839	59488
30	1910	59729
31	1974	59741
32	2037	59692
33	2102	59731
34	2166	59722
35	2230	59722
36	2293	59697
37	2356	59665
38	2420	59642
39	2483	59601
40	2548	59612
41	2620	59767
42	2685	59773
43	2748	59722
44	2810	59647
45	2884	59830
46	2948	59795
47	3011	59735
48	3075	59680
49	3139	59652
50	3203	59606
51	3267	59562
52	3329	59498
53	3389	59387
54	3455	59366
55	3518	59310
56	3585	59320
57	3648	59264
58	3712	59209
59	3775	59154
60	3838	59092
61	3903	59054
62	3967	59009
63	4032	58973
64	4093	58889
65	4160	58871
66	4223	58812
67	4286	58753
68	4350	58697
69	4372	58090
70	4433	58005
71	4496	57951
72	4561	57923
73	4625	57878
74	4689	57837
75	4752	57785
76	4815	57721
77	4877	57660
78	4943	57634
79	5009	57605
80	5074	57568
81	5137	57513
82	5200	57452
83	5262	57381
84	5324	57319
85	5388	57271
86	5461	57310
87	5525	57261
88	5592	57243
89	5656	57193
90	5722	57158
91	5785	57102
92	5849	57049
93	5913	56998
94	5976	56935
95	6042	56897
96	6108	56861
97	6171	56801
98	6212	56541
99	6275	56475
100	6338	56421
101	6401	56356
102	6462	56280
103	6522	56195
104	6590	56173
105	6653	56118
106	6720	56087
107	6782	56015
108	6848	55978
109	6913	55937
110	6977	55880
111	7045	55859
112	7116	55859
113	7179	55802
114	7201	55421
115	7250	55255
116	7311	55180
117	7374	55120
118	7437	55062
119	7479	54848
120	7541	54785
121	7611	54775
122	7674	54718
123	7738	54670
124	7801	54610
125	7867	54571
126	7929	54510
127	7993	54455
128	8055	54393
129	8118	54328
130	8181	54270
131	8243	54208
132	8307	54155
133	8370	54094
134	8433	54039
135	8497	53984
136	8561	53933
137	8626	53883
138	8689	53824
139	8751	53757
140	8815	53703
141	8867	53580
142	8931	53526
143	8992	53454
144	9035	53276
145	9096	53211
146	9160	53157
147	9224	53105
148	9287	53046
149	9340	52927
150	9401	52859
151	9430	52611
152	9493	52556
153	9556	52496
154	9619	52443
155	9682	52386
156	9742	52314
157	9807	52263
158	9867	52192
159	9932	52148
160	9996	52094
161	10060	52043
162	10124	51987
163	10187	51931
164	10248	51864
165	10314	51819
166	10383	51791
167	10445	51730
168	10510	51682
169	10577	51640
170	10639	51581
171	10700	51513
172	10766	51468
173	10849	51502
174	10911	51441
175	10976	51392
176	11040	51333
177	11103	51277
178	11166	51217
179	11229	51157
180	11295	51110
181	11359	51055
182	11422	50996
183	11484	50932
184	11552	50892
185	11618	50845
186	11677	50770
187	11741	50714
188	11804	50651
189	11871	50609
190	11934	50549
191	11998	50493
192	12062	50438
193	12126	50382
194	12190	50323
195	12253	50265
196	12316	50205
197	12381	50149
198	12444	50091
199	12507	50030
200	12573	49981
201	12636	49922
202	12700	49862
203	12764	49804
204	12825	49739
205	12892	49691
206	12954	49626
207	13034	49632
208	13099	49576
209	13163	49520
210	13227	49462
211	13258	49283
212	13320	49218
213	13384	49160
214	13447	49099
215	13509	49035
216	13573	48978
217	13638	48924
218	13708	48888
219	13771	48824
220	13835	48769
221	13900	48715
222	13964	48656
223	14026	48593
224	14091	48538
225	14155	48479
226	14219	48420
227	14282	48359
228	14345	48300
229	14410	48243
230	14473	48182
231	14537	48124
232	14600	48064
233	14666	48010
234	14736	47973
235	14798	47906
236	14864	47855
237	14928	47796
238	14992	47737
239	15056	47677
240	15118	47615
241	15181	47552
242	15247	47500
243	15311	47439
244	15374	47378
245	15394	47184
246	15458	47125
247	15519	47059
248	15586	47008
249	15648	46946
250	15712	46888
251	15776	46828
252	15840	46768
253	15903	46709
254	15967	46650
255	16031	46590
256	16093	46528
257	16158	46470
258	16221	46409
259	16282	46341
260	16349	46292
261	16413	46232
262	16474	46166
263	16539	46109
264	16603	46050
265	16668	45995
266	16731	45934
267	16792	45867
268	16860	45818
269	16902	45699
270	16964	45635
271	17025	45567
272	17090	45512
273	17152	45448
274	17218	45395
275	17281	45332
276	17344	45270
277	17406	45206
278	17470	45149
279	17536	45094
280	17599	45032
281	17666	44980
282	17729	44919
283	17793	44860
284	17856	44796
285	17921	44740
286	17983	44675
287	18048	44619
288	18111	44557
289	18173	44493
290	18239	44439
291	18302	44377
292	18363	44311
293	18430	44257
294	18494	44197
295	18556	44133
296	18621	44077
297	18685	44018
298	18747	43952
299	18812	43896
300	18877	43838
301	18938	43771
302	19004	43717
303	19070	43660
304	19134	43600
305	19198	43541
306	19261	43479
307	19327	43423
308	19391	43363
309	19452	43297
310	19518	43241
311	19580	43177
312	19645	43120
313	19709	43060
314	19773	42999
315	19837	42938
316	19901	42879
317	19963	42814
318	20028	42756
319	20089	42690
320	20156	42636
321	20218	42571
322	20285	42518
323	20349	42457
324	20413	42398
325	20477	42337
326	20541	42276
327	20607	42219
328	20672	42160
329	20733	42095
330	20798	42036
331	20863	41977
332	20924	41911
333	20989	41853
334	21052	41790
335	21118	41734
336	21182	41672
337	21247	41614
338	21311	41554
339	21373	41489
340	21440	41434
341	21502	41370
342	21571	41318
343	21635	41257
344	21697	41193
345	21761	41133
346	21823	41068
347	21890	41012
348	21953	40951
349	22016	40888
350	22083	40831
351	22146	40769
352	22208	40705
353	22269	40638
354	22333	40577
355	22397	40517
356	22459	40451
357	22524	40393
358	22595	40344
359	22659	40283
360	22722	40220
361	22785	40158
362	22849	40096
363	22913	40036
364	22983	39985
365	23046	39921
366	23109	39858
367	23170	39792
368	23236	39735
369	23299	39671
370	23360	39605
371	23425	39546
372	23489	39484
373	23552	39422
374	23616	39360
375	23678	39297
376	23743	39236
377	23808	39177
378	23871	39114
379	23936	39054
380	23999	38990
381	24065	38933
382	24128	38869
383	24191	38807
384	24257	38749
385	24320	38686
386	24385	38626
387	24446	38559
388	24511	38499
389	24592	38465
390	24659	38408
391	24721	38342
392	24787	38285
